"Taxanomic_rank","Silva","Spike"
"Domain",0.67553735926305,0.499488229273286
"Phylum",0.64987714987715,0.0467836257309941
"Class",0.650676506765068,0.0467836257309941
"Order",0.696644295302013,0.0467836257309941
"Family",0.656565656565657,0.051063829787234
"Genus",0.553945249597424,0.051063829787234
"Species",0.0648148148148148,0.0888888888888889
