".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Evenness","0.1cfu","1000cfu",10,10,1.85556061862644,0.0635162113441059,1,"ns"
"Evenness","0.1cfu","100cfu",10,10,-0.367611065954295,0.713163262334188,1,"ns"
"Evenness","0.1cfu","10cfu",10,10,-0.0962790887023149,0.923298918720752,1,"ns"
"Evenness","0.1cfu","1cfu",10,10,-0.0175052888549661,0.986033513597569,1,"ns"
"Evenness","0.1cfu","Campylobacter Presence",10,6,-2.44834401311116,0.0143514556979984,0.430543670939952,"ns"
"Evenness","0.1cfu","Enumeration Spike Control",10,10,1.65424979679433,0.0980767687849456,1,"ns"
"Evenness","0.1cfu","Listeria Presence",10,6,-0.919708174171789,0.357725279882542,1,"ns"
"Evenness","0.1cfu","No Spike Control",10,10,3.39602603786349,0.000683718551816548,0.0218789936581295,"*"
"Evenness","0.1cfu","Salmonella Presence",10,6,3.76726617497291,0.000165045002990511,0.00594162010765839,"**"
"Evenness","1000cfu","100cfu",10,10,-2.22317168458074,0.0262042253816559,0.655105634541397,"ns"
"Evenness","1000cfu","10cfu",10,10,-1.95183970732876,0.0509572383760374,1,"ns"
"Evenness","1000cfu","1cfu",10,10,-1.87306590748141,0.0610592844466561,1,"ns"
"Evenness","1000cfu","Campylobacter Presence",10,6,-4.05530664710363,5.00685746348686e-05,0.00205281156002961,"**"
"Evenness","1000cfu","Enumeration Spike Control",10,10,-0.201310821832114,0.8404555411846,1,"ns"
"Evenness","1000cfu","Listeria Presence",10,6,-2.52667080816426,0.0115149379105875,0.356963075228212,"ns"
"Evenness","1000cfu","No Spike Control",10,10,1.54046541923705,0.123446945774195,1,"ns"
"Evenness","1000cfu","Salmonella Presence",10,6,2.16030354098044,0.03074917903569,0.737980296856561,"ns"
"Evenness","100cfu","10cfu",10,10,0.27133197725198,0.786135714318377,1,"ns"
"Evenness","100cfu","1cfu",10,10,0.350105777099329,0.726259315447466,1,"ns"
"Evenness","100cfu","Campylobacter Presence",10,6,-2.12998349128247,0.0331729763353885,0.762978455713936,"ns"
"Evenness","100cfu","Enumeration Spike Control",10,10,2.02186086274862,0.0431907279758481,0.950196015468657,"ns"
"Evenness","100cfu","Listeria Presence",10,6,-0.601347652343093,0.547608456955151,1,"ns"
"Evenness","100cfu","No Spike Control",10,10,3.76363710381778,0.000167459847426451,0.00594162010765839,"**"
"Evenness","100cfu","Salmonella Presence",10,6,4.0856266968016,4.3958005526252e-05,0.00184623623210258,"**"
"Evenness","10cfu","1cfu",10,10,0.0787737998473488,0.937212543965184,1,"ns"
"Evenness","10cfu","Campylobacter Presence",10,6,-2.36496387644174,0.0180318296471351,0.504891230119784,"ns"
"Evenness","10cfu","Enumeration Spike Control",10,10,1.75052888549664,0.0800270943072164,1,"ns"
"Evenness","10cfu","Listeria Presence",10,6,-0.836328037502369,0.402970384238498,1,"ns"
"Evenness","10cfu","No Spike Control",10,10,3.4923051265658,0.000478870876867972,0.0162816098135111,"*"
"Evenness","10cfu","Salmonella Presence",10,6,3.85064631164233,0.000117806526489815,0.00447664800661296,"**"
"Evenness","1cfu","Campylobacter Presence",10,6,-2.43318398826218,0.0149666935615039,0.434034113283613,"ns"
"Evenness","1cfu","Enumeration Spike Control",10,10,1.67175508564929,0.0945726268257276,1,"ns"
"Evenness","1cfu","Listeria Presence",10,6,-0.904548149322804,0.365704815096677,1,"ns"
"Evenness","1cfu","No Spike Control",10,10,3.41353132671845,0.000641267856808099,0.0211618392746673,"*"
"Evenness","1cfu","Salmonella Presence",10,6,3.78242619982189,0.000155307147188947,0.00574636444599104,"**"
"Evenness","Campylobacter Presence","Enumeration Spike Control",6,10,3.8809663613403,0.000104042232292136,0.00416168929168543,"**"
"Evenness","Campylobacter Presence","Listeria Presence",6,6,1.36725345948435,0.171545874020261,1,"ns"
"Evenness","Campylobacter Presence","No Spike Control",6,10,5.38938883381436,7.06976949223017e-08,3.11069857658127e-06,"****"
"Evenness","Campylobacter Presence","Salmonella Presence",6,6,5.5594107608785,2.70686955751173e-08,1.21809130088028e-06,"****"
"Evenness","Enumeration Spike Control","Listeria Presence",10,6,-2.35233052240092,0.0186561892121815,0.504891230119784,"ns"
"Evenness","Enumeration Spike Control","No Spike Control",10,10,1.74177624106916,0.0815476056314488,1,"ns"
"Evenness","Enumeration Spike Control","Salmonella Presence",10,6,2.33464382674377,0.0195620350218359,0.508612910567734,"ns"
"Evenness","Listeria Presence","No Spike Control",6,10,3.86075299487498,0.000113038130658804,0.00440848709569338,"**"
"Evenness","Listeria Presence","Salmonella Presence",6,6,4.19215730139415,2.76314292773878e-05,0.00118815145892768,"**"
"Evenness","No Spike Control","Salmonella Presence",10,6,0.826221354269712,0.408678536837658,1,"ns"
