Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species,Consensus
f599df88c707527a2c8cac056f60c066,Unassigned,,,,,,,1
d59d4fd829a3eed7ee6808402cb480a5,Unassigned,,,,,,,1
729ca1ddee1f3b29b6fcd230929b5dff,Unassigned,,,,,,,1
12748e5d0b5fea69e764665609854b8b,Unassigned,,,,,,,1
858f90af63aaa87f046c6415dfbf4b1d,Unassigned,,,,,,,1
11d2d47018b3552cec63e9b72224c17f,Unassigned,,,,,,,1
5e07ab63dd389036cb2f44092e60102d,Unassigned,,,,,,,1
e70f12bd99bb46a69ef383fb3be7c091,Unassigned,,,,,,,1
9b966d846744bf1fa3caf6f6d1e7147b,Unassigned,,,,,,,1
18df3cedbe741c6e4d493360e7b5b7a6,Unassigned,,,,,,,1
f02d55c2de5da1b40854f0668f38c831,Unassigned,,,,,,,1
8a755191241452631e45048c95e0f75e,Unassigned,,,,,,,1
fe8f674e70abea6e350bddb4dca6394f,Unassigned,,,,,,,1
c31f10615072ec814dd89f522a2c5886,Unassigned,,,,,,,1
b04fbffdd3cecb55dbbac38d1cafdf6a,Unassigned,,,,,,,1
cac1ad66f71f81683bb1cb2c2b00d67c,Unassigned,,,,,,,1
855d850ba115a594cf1ddc00221bde81,Unassigned,,,,,,,1
658ea5b357213f6a09fe4547fa7856af,Unassigned,,,,,,,1
1d3aa64bf819df16496819f0094b461a,Unassigned,,,,,,,1
fbaa4a8604739620c90a494c32d337d3,Unassigned,,,,,,,1
49209ed53cdcd0a49316a1f06315510f,Unassigned,,,,,,,1
a964ce01f84e0b4d4568a6dd49477326,Unassigned,,,,,,,1
140f73f0bef45c1719c2de58a710c138,Unassigned,,,,,,,1
dc8121d41d99797c4f760860aa47dc2d,Unassigned,,,,,,,1
177dec7464891e46919e6d559576760f,Unassigned,,,,,,,1
726c1c46575ab0d6f3d86894c1ef4f28,Unassigned,,,,,,,1
e03c045fdfbe0f5d0162175dd01ec381,Unassigned,,,,,,,1
b8be24e81eec22b95a0838da3ebba939,Unassigned,,,,,,,1
c0fe30e13ac62fa9cf356e8a7c7389d0,Unassigned,,,,,,,1
0daf545ccfd039b841af7f625f7c9fa2,Unassigned,,,,,,,1
79280652bf979e3fe6f78a4f0c681dd1,Unassigned,,,,,,,1
57b90f10e01469368653879019b2dcd2,Unassigned,,,,,,,1
618c8f38412887d83a649c5c02d90fba,Unassigned,,,,,,,1
c62f11eee7479dd5a25955126c98ff14,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.99818992
8a28f78b453765f5e06d4e7df848323a,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.999465392
9d22d2a9fd44b7888f59070426e07f48,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.999435553
8762a4950685d1686a3b4b57589b6e0d,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.9976112
981ab35aea0c454739415a9d15eb48f6,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.999746919
e335d86e6f8762aa7bb6251d5622bd77,Unassigned,,,,,,,1
57cd0a4287f1d22b24aebd720989170f,Unassigned,,,,,,,1
262da9729cd10e1bd8492fb8c95a120c,Unassigned,,,,,,,1
1005a88f72cc6db8208eb1e7016635c6,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,,0.999994942
33fd1fcc39e51fc97e49908cf40604a4,Unassigned,,,,,,,1
18f5b00675717fc5bc3fe33d03d06db7,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Salmonella,,0.9999951
3c8f2c268bebccf250d034f23afa8dff,Unassigned,,,,,,,1
b250e55645eb100e48b586399070fe44,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,0.999998066
20e33f789bda6371f7519b12d998e37d,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
261ad8ec7b2dae0c9b75c595e3593010,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,0.999999946
ab3376981231d343484e00cd7402f571,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
44d95a61c8d904adb2bbb8e8ab299e2d,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
29adda92d836d2a5ef8470cd0eb3d0f9,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
c622784a5e0946450c9d18412f4e2aa4,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
0cb290f3497f55cf6c8a65ef3ad94847,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
e5b864e74fecad10e542c25abadc83fa,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
