"difference"
-33
-1557
291
0
91
0
-5161
-169
-19
-121
-167
-3347
711
0
145
0
101
281
7
254
10288
118
7
10183
0
-852
-42
0
-258
0
-6372
-707
-111
-1802
0
-6935
-436
-220
-3979
0
